customer_id,item_id,quantity
C1,I1,18
C1,I2,11
C1,I3,10
C2,I1,20
C2,I2,18
C2,I3,10
C3,I1,11
C3,I2,13
C3,I3,12
C4,I1,16
C4,I2,17
C4,I3,17
C5,I1,13
C5,I2,16
C5,I3,10
C6,I1,12
C6,I2,16
C6,I3,10
C7,I1,16
C7,I2,14
C7,I3,17
C8,I1,14
C8,I2,16
C8,I3,18
C9,I1,20
C9,I2,17
C9,I3,12
C10,I1,13
C10,I2,14
C10,I3,13
C11,I1,10
C11,I2,19
C11,I3,18
C12,I1,10
C12,I2,15
C12,I3,10
C13,I1,10
C13,I2,19
C13,I3,17
C14,I1,18
C14,I2,18
C14,I3,12
C15,I1,10
C15,I2,18
C15,I3,11
C16,I1,12
C16,I2,11
C16,I3,19
C17,I1,11
C17,I2,20
C17,I3,13
C18,I1,16
C18,I2,11
C18,I3,19
C19,I1,13
C19,I2,19
C19,I3,19
C20,I1,10
C20,I2,19
C20,I3,11
C21,I1,16
C21,I2,20
C21,I3,19
C22,I1,19
C22,I2,18
C22,I3,15
C23,I1,14
C23,I2,13
C23,I3,20
C24,I1,15
C24,I2,13
C24,I3,14
C25,I1,16
C25,I2,12
C25,I3,20
C26,I1,20
C26,I2,14
C26,I3,17
C27,I1,15
C27,I2,11
C27,I3,10
C28,I1,17
C28,I2,19
C28,I3,19
C29,I1,11
C29,I2,11
C29,I3,18
C30,I1,13
C30,I2,18
C30,I3,14
C31,I1,12
C31,I2,15
C31,I3,11
C32,I1,13
C32,I2,15
C32,I3,14
C33,I1,12
C33,I2,17
C33,I3,18
C34,I1,14
C34,I2,19
C34,I3,20
C35,I1,18
C35,I2,10
C35,I3,20
C36,I1,18
C36,I2,14
C36,I3,20
C37,I1,11
C37,I2,12
C37,I3,14
C38,I1,11
C38,I2,11
C38,I3,18
C39,I1,12
C39,I2,14
C39,I3,14
C40,I1,19
C40,I2,13
C40,I3,15
C41,I1,13
C41,I2,20
C41,I3,20
C42,I1,14
C42,I2,18
C42,I3,17
C43,I1,14
C43,I2,10
C43,I3,11
C44,I1,20
C44,I2,16
C44,I3,14
C45,I1,10
C45,I2,10
C45,I3,15
C46,I1,12
C46,I2,20
C46,I3,14
C47,I1,12
C47,I2,17
C47,I3,18
C48,I1,16
C48,I2,18
C48,I3,10
C49,I1,11
C49,I2,11
C49,I3,12
C50,I1,18
C50,I2,10
C50,I3,15
C51,I1,19
C51,I2,18
C51,I3,12
C52,I1,16
C52,I2,12
C52,I3,10
C53,I1,14
C53,I2,15
C53,I3,10
C54,I1,15
C54,I2,13
C54,I3,20
C55,I1,13
C55,I2,20
C55,I3,11
C56,I1,15
C56,I2,18
C56,I3,16
C57,I1,19
C57,I2,12
C57,I3,13
C58,I1,12
C58,I2,12
C58,I3,16
C59,I1,10
C59,I2,12
C59,I3,15
C60,I1,16
C60,I2,20
C60,I3,13
C61,I1,14
C61,I2,12
C61,I3,11
C62,I1,16
C62,I2,10
C62,I3,17
C63,I1,13
C63,I2,13
C63,I3,17
C64,I1,15
C64,I2,14
C64,I3,13
C65,I1,13
C65,I2,10
C65,I3,20
C66,I1,13
C66,I2,16
C66,I3,15
C67,I1,14
C67,I2,11
C67,I3,14
C68,I1,15
C68,I2,20
C68,I3,18
C69,I1,16
C69,I2,20
C69,I3,18
C70,I1,15
C70,I2,10
C70,I3,11
C71,I1,14
C71,I2,12
C71,I3,19
C72,I1,14
C72,I2,10
C72,I3,11
C73,I1,19
C73,I2,16
C73,I3,15
C74,I1,15
C74,I2,16
C74,I3,19
C75,I1,18
C75,I2,11
C75,I3,16
C76,I1,19
C76,I2,13
C76,I3,14
C77,I1,10
C77,I2,16
C77,I3,10
C78,I1,18
C78,I2,18
C78,I3,20
C79,I1,20
C79,I2,13
C79,I3,15
C80,I1,16
C80,I2,11
C80,I3,20
C81,I1,15
C81,I2,19
C81,I3,15
C82,I1,20
C82,I2,11
C82,I3,14
C83,I1,18
C83,I2,14
C83,I3,20
C84,I1,16
C84,I2,15
C84,I3,16
C85,I1,14
C85,I2,18
C85,I3,12
C86,I1,13
C86,I2,16
C86,I3,20
C87,I1,16
C87,I2,20
C87,I3,12
C88,I1,19
C88,I2,19
C88,I3,14
C89,I1,16
C89,I2,18
C89,I3,10
C90,I1,14
C90,I2,14
C90,I3,13
C91,I1,16
C91,I2,19
C91,I3,19
C92,I1,20
C92,I2,15
C92,I3,17
C93,I1,17
C93,I2,17
C93,I3,20
C94,I1,13
C94,I2,18
C94,I3,17
C95,I1,12
C95,I2,20
C95,I3,11
