customer_id,name,x,y,deadline_hours
C1,L0958,-6.253279,106.842864,6
C2,L0103,-6.224853,106.830965,6
C3,L1153,-6.249132,106.791613,6
C4,L0512,-6.151352,106.830396,6
C5,L0250,-6.230565,106.752068,6
C6,L0941,-6.18521,106.939841,6
C7,L0275,-6.203282,106.771917,8
C8,L1097,-6.168991,106.921671,8
C9,L1156,-6.226432,106.811125,8
C10,L1233,-6.184836,106.841133,6
C11,L0651,-6.272053,106.747569,6
C12,L0912,-6.212658,106.901462,6
C13,L1270,-6.263985,106.78173,6
C14,L1041,-6.159326,106.852678,6
C15,L0879,-6.221779,106.618841,6
C16,L1133,-6.167341,106.770657,6
C17,L0919,-6.409934,106.861435,8
C18,L0327,-6.164014,106.734497,8
C19,L0979,-6.224284,106.598568,8
C20,L0927,-6.177609,106.968837,6
C21,L0532,-6.108033,106.897495,6
C22,L0508,-6.13532,106.843845,6
C23,L1321,-6.32025,106.761813,6
C24,L0569,-6.178206,106.844898,6
C25,L1076,-6.303708,106.885793,6
C26,L1000,-6.16541,106.648655,6
C27,L1299,-6.091909,106.690478,8
C28,L0491,-6.164318,106.864777,8
C29,L0564,-6.191103,106.849652,8
C30,L0906,-6.109501,106.884191,6
C31,L0160,-6.311544,106.793005,6
C32,L0587,-6.156634,106.864157,6
C33,L0482,-6.190028,106.812582,6
C34,L0558,-6.137793,106.781243,6
C35,L0690,-6.225399,106.707982,6
C36,L0656,-6.196306,106.843382,6
C37,L1117,-6.251829,106.664068,8
C38,L0167,-6.278005,106.801018,8
C39,L0285,-6.134628,106.70712,8
C40,L0310,-6.208387,106.78337,6
C41,L0475,-6.190317,106.812288,6
C42,L0789,-6.184545,106.761073,6
C43,L0314,-6.177925,106.722622,6
C44,L0440,-6.364009,106.959529,6
C45,L0132,-6.16187,106.762694,6
C46,L0855,-6.2572,106.968705,6
C47,L0839,-6.342082,106.792404,8
C48,L0680,-6.185844,106.668948,8
C49,L1122,-6.152579,106.764148,8
C50,L0961,-6.292757,107.046427,6
C51,L0857,-6.258157,106.869325,6
C52,L0128,-6.238975,106.812367,6
C53,L0425,-6.222424,106.772002,6
C54,L0866,-6.215374,106.738501,6
C55,L0802,-6.169496,106.772537,6
C56,L1209,-6.152651,106.764077,6
C57,L0041,-6.133844,106.687994,8
C58,L1191,-6.121818,106.81339,8
C59,L0784,-6.214524,106.83477,8
C60,L0984,-6.33277,106.782848,6
C61,L0013,-6.229362,106.72114,6
C62,L0723,-6.183508,106.674804,6
C63,L0613,-6.154816,106.862199,6
C64,L0803,-6.215843,106.815124,6
C65,L0864,-6.238148,106.771845,6
C66,L1112,-6.218106,106.715368,6
C67,L1129,-6.231328,106.783162,8
C68,L1251,-6.152644,106.764087,8
C69,L0453,-6.155773,106.929168,8
C70,L1007,-6.187859,106.846275,6
C71,L0451,-6.162895,106.811022,6
C72,L0560,-6.137123,106.781681,6
C73,L0898,-6.248964,106.985301,6
C74,L1002,-6.386928,106.826445,6
C75,L0060,-6.244007,106.729175,6
C76,L0801,-6.307509,106.799208,6
C77,L0691,-6.239915,106.703116,8
C78,L0833,-6.343267,107.154015,8
C79,L0340,-6.135296,106.702717,8
C80,L0964,-6.188955,106.701407,6
C81,L0263,-6.214635,106.825681,6
C82,L1290,-6.150554,106.725376,6
C83,L1103,-6.271099,106.729342,6
C84,L0056,-6.241091,106.702754,6
C85,L0811,-6.142527,106.800843,6
C86,L1226,-6.401993,106.812472,6
C87,L1167,-6.152602,106.764142,8
C88,L0173,-6.271588,106.80838,8
C89,L1332,-6.239487,106.766861,8
C90,L0883,-6.162794,106.904121,6
C91,L0279,-6.231509,106.859343,6
C92,L0952,-6.143872,106.90954,6
C93,L0374,-6.156923,106.801111,6
C94,L0534,-6.305132,106.933798,6
C95,L0781,-6.223584,106.781908,6
C96,L0673,-6.152618,106.764098,6
C97,L0435,-6.149566,106.890128,8
C98,L0938,-6.185559,106.613368,8
C99,L0672,-6.185408,106.67455,8
C100,L0694,-6.233163,106.702072,6
C101,L0571,-6.196946,106.842568,6
C102,L0869,-6.208466,106.830421,6
C103,L0518,-6.11918,106.909622,6
C104,L0169,-6.20737,106.840782,6
C105,L0970,-6.260497,106.710247,6
C106,L0040,-6.215517,106.708706,6
C107,L1114,-6.145438,106.676047,8
C108,L0107,-6.333366,106.867725,8
C109,L0719,-6.28539,106.855504,8
C110,L0461,-6.129925,106.798163,6
C111,L1348,-6.295973,106.843322,6
C112,L0141,-6.192858,106.840653,6
C113,L1351,-6.152513,106.764062,6
C114,L0083,-6.294566,106.964866,6
C115,L0064,-6.186343,106.455038,6
C116,L0410,-6.300013,106.777806,6
C117,L0042,-6.308633,106.772509,8
C118,L1288,-6.134862,106.832502,8
C119,L0490,-6.164054,106.864996,8
C120,L0260,-6.255244,106.796695,6
C121,L0976,-6.232648,106.745817,6
C122,L0236,-6.236953,106.781029,6
C123,L0448,-6.151339,106.8307,6
C124,L0959,-6.196066,106.843519,6
C125,L0526,-6.119194,106.908136,6
C126,L0759,-6.152587,106.76411,6
C127,L0345,-6.16397,106.748784,8
C128,L1256,-6.229116,106.807321,8
C129,L1259,-6.24452,106.784137,8
C130,L0337,-6.129458,106.724045,6
C131,L0639,-6.188422,106.739561,6
C132,L0223,-6.318166,106.795389,6
C133,L1198,-6.323082,106.836988,6
C134,L0053,-6.244023,106.729134,6
C135,L0640,-6.285681,106.729277,6
