vehicle_id,name,depot_id,vehicle_type,capacity_kg,max_operational_hrs,speed_kmh
V1,Truk 1,D1,truck,50,10,40
V2,Van 1,D2,van,30,8,42
V3,Truk 2,D3,truck,50,7,40
V4,Van 2,D4,van,30,10,38
V5,Truk 3,D5,truck,50,9,42
V6,Van 3,D6,van,30,10,42
V7,Truk 4,D7,truck,50,9,38
V8,Van 4,D8,van,30,8,40
V9,Truk 5,D1,truck,50,7,38
V10,Van 5,D2,van,30,8,40
V11,Truk 6,D3,truck,50,8,38
V12,Van 6,D4,van,30,9,40
V13,Truk 7,D5,truck,50,9,38
V14,Van 7,D6,van,30,7,40
V15,Truk 8,D7,truck,50,10,38
V16,Van 8,D8,van,30,8,40
V17,Truk 9,D1,truck,50,8,42
V18,Van 9,D2,van,30,9,38
V19,Truk 10,D3,truck,50,10,42
V20,Van 10,D4,van,30,7,40
V21,Truk 11,D5,truck,50,7,40
V22,Van 11,D6,van,30,7,40
V23,Truk 12,D7,truck,50,10,42
V24,Van 12,D8,van,30,10,42
V25,Truk 13,D1,truck,50,10,40
V26,Van 13,D2,van,30,7,40
V27,Truk 14,D3,truck,50,7,40
